,Unnamed: 0,playlist,name,followers,num_songs,av_song_pop,pct_explicit,avg_dur,av_artist_followers,pop_pct,rap_pct,rock_pct,hip_hop_pct,country_pct,metal_pct,indie_folk_pct,rnb_pct,edm_pct,classical_pct,jazz_pct,popular_artist_pct,top_3_artist_av_pop,top_artist_pop,Demi Lovato,Lil Wayne,BeyoncÌÄå©,Selena Gomez,SZA,Marshmello,Coldplay,Kanye West,Kygo,Dua Lipa,XXXTENTACION,Sia,Camila Cabello,Migos,Gucci Mane,Imagine Dragons,Rihanna,Travis Scott,Maroon 5,Taylor Swift,The Weeknd,Ty Dolla $ign,Nicki Minaj,Daddy Yankee,Young Thug,Lil Uzi Vert,Kendrick Lamar,Eminem,Chris Brown,Future,Justin Bieber,J Balvin,Sam Smith,21 Savage,Ozuna,Bad Bunny,Khalid,Ed Sheeran,Drake,Post Malone
341,344,37i9dQZF1DWXnexX7CktaI,Gold Edition,836362.0,44,61.863636363599994,0.5227272727269999,236936.13636399998,4106164.272727273,0.9772727272730001,0.886363636364,0.0,0.613636363636,0.0,0.0,0.431818181818,0.7954545454549999,0.0,0.0,0.0,0.7045454545450001,99.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
342,345,37i9dQZF1DWYmmr74INQlb,I Love My '00's R&B,594178.0,40,63.025,0.075,241200.625,1821397.25,0.975,0.95,0.0,0.85,0.0,0.0,0.225,0.95,0.0,0.0,0.0,0.425,94.6666666667,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343,346,1Gn0PYtF7VmfuZD0Gb91fN,2006,12133.0,50,43.96,0.24,233630.04,2396358.24,0.96,0.62,0.34,0.36,0.02,0.1,0.1,0.42,0.0,0.0,0.0,0.7,95.6666666667,96.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
344,347,3jibtPWLDXBK0OCJN6Ztsf,2008,35231.0,50,39.48,0.22,237010.22,3391021.4,0.96,0.62,0.26,0.48,0.0,0.04,0.16,0.6,0.02,0.0,0.0,0.7,96.0,96.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
345,348,37i9dQZF1DWYO09q5flyTm,"All Night, All Love",1228958.0,26,43.6538461538,0.730769230769,276241.34615399997,3735425.0,0.9615384615379999,0.9615384615379999,0.0,0.846153846154,0.0,0.0,0.346153846154,0.423076923077,0.0,0.0,0.0,0.653846153846,99.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
346,349,4tSzT9BRuf3qRJDbPz4SlS,Top Picks Romance,933016.0,21,42.4285714286,0.0952380952381,247329.095238,3338505.619047619,0.8571428571430001,0.190476190476,0.5714285714289999,0.047619047619,0.0,0.0,0.380952380952,0.23809523809500002,0.0,0.0,0.0,0.5714285714289999,96.6666666667,99.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
347,350,37i9dQZF1DX69lfo344Kph,Wa-oh-wa-oh!,64.0,26,44.3461538462,0.115384615385,228448.346154,1779641.0769230768,0.807692307692,0.115384615385,0.423076923077,0.0,0.0,0.0384615384615,0.38461538461499994,0.0384615384615,0.0384615384615,0.0,0.0,0.46153846153800004,93.0,96.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
348,351,0LqjAibgbS9ep32zZrDcAN,Welcome Home,141863.0,70,46.3571428571,0.128571428571,241451.828571,1851251.5142857144,0.657142857143,0.414285714286,0.3,0.257142857143,0.0285714285714,0.0,0.171428571429,0.257142857143,0.1,0.0,0.0285714285714,0.5,96.6666666667,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
349,352,37i9dQZF1DX5WbJFtYTzv7,This Is: Skepta,36282.0,46,42.4130434783,0.717391304348,197131.108696,538080.4130434783,0.08695652173910001,0.717391304348,0.0217391304348,0.717391304348,0.0,0.0,0.0217391304348,0.0217391304348,0.0,0.0,0.0,0.0652173913043,85.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
350,353,37i9dQZF1DX5FyxM4IcLn6,59th GRAMMY Awards,10953.0,76,62.960526315799996,0.315789473684,243345.197368,3938890.6315789474,0.723684210526,0.40789473684199995,0.276315789474,0.223684210526,0.11842105263199999,0.06578947368419999,0.210526315789,0.197368421053,0.0394736842105,0.0,0.013157894736799998,0.763157894737,99.0,99.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
