,playlist,name,followers,num_songs,av_song_pop,pct_explicit,avg_dur,av_artist_followers,pop_pct,rap_pct,rock_pct,popular_artist_pct,log_followers,log_artist_follow
1455,37i9dQZF1DWX16Q183eyvd,Hip-Hopscotch & Reggae Recess,32501.0,51,12.019607843137255,0.0,184167.60784313726,61867.76470588235,0.0392156862745098,0.0,0.0,0.0196078431372549,10.389026137075234,11.032754558987326
1456,37i9dQZF1DX0N8QTiMHLoT,Bottoms Up,104205.0,44,25.613636363636363,0.0,278659.9090909091,19144.545454545456,0.0,0.0,0.0,0.0,11.554115391795092,9.859773121375454
1457,37i9dQZF1DXb85CZUwGLzX,A Monty Python Emporium,475871.0,100,2.07,0.0,125142.33,45484.0,0.0,0.0,0.0,0.0,13.072902088080783,10.725115894744613
1458,66uSq0mmMKat8vPRxsbmhp,Happy Birthday Joe Cocker,412.0,10,24.2,0.0,255527.6,326945.0,0.0,0.0,1.0,0.0,6.021023349349527,12.69754724001425
1459,37i9dQZF1DWZkGQGk1ZjrI,This Is: Elliott Smith,8306.0,28,35.535714285714285,0.03571428571428571,180209.0357142857,310545.0,1.0,0.0,0.0,0.0,9.024733424190698,12.646084097390922
1460,37i9dQZF1DX3Y4Bt8VdicW,This Is: Father John Misty,93487.0,19,43.10526315789474,0.0,236975.68421052632,299458.2105263158,0.9473684210526315,0.0,0.0,0.0,11.445577668177023,12.609730156005371
1461,37i9dQZF1DWZyp9KgPL31Y,This Is: The Shins,21996.0,28,39.535714285714285,0.0,220786.2857142857,556825.2857142857,0.9642857142857143,0.0,0.0,0.0,9.998615897627705,13.230006799532804
1462,1pARmsw0z4yebhBtZKxAU0,10-Jun,111.0,71,5.295774647887324,0.0,243272.1690140845,27905.154929577464,0.0,0.0,0.0,0.0,4.709530201312334,10.236566715243583
1463,4fFfXVLYv59XIfPdUvMqKC,braids,159.0,27,2.1481481481481484,0.0,281682.44444444444,59228.444444444445,0.0,0.0,0.0,0.0,5.0689042022202315,10.989157185958794
1464,37i9dQZF1DX8C585qnMYHP,Fresh Finds: Cyclone,26330.0,30,21.266666666666666,0.0,332093.86666666664,817.3,0.0,0.0,0.0,0.0,10.178464252490356,6.706006224522084
1465,1m6DKwKNM1YLcm3OX6RzJg,Kvinnor att ha koll pÌÄå´ 2014,6.0,63,12.428571428571429,0.031746031746031744,215583.96825396825,25246.507936507936,0.5396825396825397,0.0,0.0,0.015873015873015872,1.791759469228055,10.136443125595003
1467,37i9dQZF1DXe8E8oqpmTDI,This Is: Mac DeMarco,391562.0,30,36.9,0.0,181450.26666666666,624255.0,0.0,0.0,0.0,1.0,12.877899147136354,13.344314217721477
1468,37i9dQZF1DWW6K9D6JN1rY,Learn Irish,4965.0,71,2.8732394366197185,0.0,212725.69014084508,5815.183098591549,0.0,0.0,0.014084507042253521,0.0,8.510168576479273,8.668227551747085
1469,37i9dQZF1DWSIcimvN18p3,Women of Folk,208387.0,40,35.475,0.0,206000.25,12404.8,0.25,0.0,0.25,0.0,12.247152206877246,9.425838773464694
1470,37i9dQZF1DXaVtcC7N0WMw,A Poem a Day,209.0,29,8.517241379310345,0.06896551724137931,164369.41379310345,4524.0344827586205,0.0,0.0,0.034482758620689655,0.0,5.342334251964811,8.417159459390566
1471,37i9dQZF1DX7R9e00hBCQT,Langston Hughes,4561.0,57,5.543859649122807,0.0,115587.68421052632,2387.3333333333335,0.0,0.0,0.0,0.0,8.4252971767117,7.777932261890268
